datetime,location,volume,hour
2025-03-18 08:45:00,Brooklyn,48,2025-03-18 08:00:00
2025-03-18 09:00:00,Brooklyn,43,2025-03-18 09:00:00
2025-03-18 09:15:00,Brooklyn,41,2025-03-18 09:00:00
2025-03-18 09:30:00,Brooklyn,43,2025-03-18 09:00:00
2025-03-18 09:45:00,Brooklyn,50,2025-03-18 09:00:00
2025-03-18 10:00:00,Brooklyn,46,2025-03-18 10:00:00
2025-03-18 10:15:00,Brooklyn,41,2025-03-18 10:00:00
2025-03-18 10:30:00,Brooklyn,50,2025-03-18 10:00:00
2025-03-18 10:45:00,Brooklyn,49,2025-03-18 10:00:00
2025-03-18 11:00:00,Brooklyn,43,2025-03-18 11:00:00
2025-03-18 11:15:00,Brooklyn,44,2025-03-18 11:00:00
2025-03-18 11:30:00,Brooklyn,54,2025-03-18 11:00:00
2025-03-18 11:45:00,Brooklyn,50,2025-03-18 11:00:00
2025-03-18 12:00:00,Brooklyn,59,2025-03-18 12:00:00
2025-03-18 12:15:00,Brooklyn,43,2025-03-18 12:00:00
2025-03-18 12:30:00,Brooklyn,47,2025-03-18 12:00:00
2025-03-18 12:45:00,Brooklyn,58,2025-03-18 12:00:00
2025-03-18 13:00:00,Brooklyn,40,2025-03-18 13:00:00
2025-03-18 13:15:00,Brooklyn,42,2025-03-18 13:00:00
2025-03-18 13:30:00,Brooklyn,41,2025-03-18 13:00:00
2025-03-18 13:45:00,Brooklyn,39,2025-03-18 13:00:00
2025-03-18 14:00:00,Brooklyn,41,2025-03-18 14:00:00
2025-03-18 14:15:00,Brooklyn,45,2025-03-18 14:00:00
2025-03-18 14:30:00,Brooklyn,48,2025-03-18 14:00:00
2025-03-18 14:45:00,Brooklyn,43,2025-03-18 14:00:00
2025-03-18 15:00:00,Brooklyn,45,2025-03-18 15:00:00
2025-03-18 15:15:00,Brooklyn,49,2025-03-18 15:00:00
2025-03-18 15:30:00,Brooklyn,41,2025-03-18 15:00:00
2025-03-18 15:45:00,Brooklyn,46,2025-03-18 15:00:00
2025-03-18 16:00:00,Brooklyn,48,2025-03-18 16:00:00
2025-03-18 16:15:00,Brooklyn,49,2025-03-18 16:00:00
2025-03-18 16:30:00,Brooklyn,43,2025-03-18 16:00:00
2025-03-18 16:45:00,Brooklyn,44,2025-03-18 16:00:00
2025-03-18 17:00:00,Brooklyn,49,2025-03-18 17:00:00
2025-03-18 17:15:00,Brooklyn,45,2025-03-18 17:00:00
2025-03-18 17:30:00,Brooklyn,49,2025-03-18 17:00:00
2025-03-18 17:45:00,Brooklyn,49,2025-03-18 17:00:00
2025-03-18 18:00:00,Brooklyn,50,2025-03-18 18:00:00
2025-03-18 18:15:00,Brooklyn,52,2025-03-18 18:00:00
2025-03-18 18:30:00,Brooklyn,47,2025-03-18 18:00:00
2025-03-18 18:45:00,Brooklyn,49,2025-03-18 18:00:00
2025-03-18 19:00:00,Brooklyn,47,2025-03-18 19:00:00
2025-03-18 19:15:00,Brooklyn,40,2025-03-18 19:00:00
2025-03-18 19:30:00,Brooklyn,54,2025-03-18 19:00:00
2025-03-18 19:45:00,Brooklyn,47,2025-03-18 19:00:00
2025-03-18 20:00:00,Brooklyn,42,2025-03-18 20:00:00
2025-03-18 20:15:00,Brooklyn,44,2025-03-18 20:00:00
2025-03-18 20:30:00,Brooklyn,50,2025-03-18 20:00:00
